,,,,,,,,,,,,,,,,,screen1,screen2,age,sex,education,race,income,health,example_arousal_scale,example_valence_scale,04_a_low_arsl,04_a_low_vln,04_a_full_arsl,04_a_full_vln,04_a_med_arsl,04_a_med_vln,04_h_full_arsl,04_h_full_vln,04_h_low_arsl,04_h_low_vln,04_h_med_arsl,04_h_med_vln,04_s_full_arsl,04_s_full_vln,04_s_low_arsl,04_s_low_vln,04_s_med_arsl,04_s_med_vln,116_a_full_arsl,116_a_full_vln,116_a_low_arsl,116_a_low_vln,116_a_med_arsl,116_a_med_vln,116_h_full_arsl,116_h_full_vln,116_h_low_arsl,116_h_low_vln,116_h_med_arsl,116_h_med_vln,116_s_full_arsl,116_s_full_vln,116_s_low_arsl,116_s_low_vln,116_s_med_arsl,116_s_med_vln,133_a_full_arsl,133_a_full_vln,133_a_low_arsl,133_a_low_vln,133_a_med_arsl,133_a_med_vln,133_h_full_arsl,133_h_full_vln,133_h_low_arsl,133_h_low_vln,133_h_med_arsl,133_h_med_vln,133_s_full_arsl,133_s_full_vln,133_s_low_arsl,133_s_low_vln,133_s_med_arsl,133_s_med_vln,49_a_full_arsl,49_a_full_vln,49_a_low_arsl,49_a_low_vln,49_a_med_arsl,49_a_med_vln,49_h_full_arsl,49_h_full_vln,49_h_low_arsl,49_h_low_vln,49_h_med_arsl,49_h_med_vln,49_s_full_arsl,49_s_full_vln,49_s_low_arsl,49_s_low_vln,49_s_med_arsl,49_s_med_vln,69_a_full_arsl,69_a_full_vln,69_a_low_arsl,69_a_low_vln,69_a_med_arsl,69_a_med_vln,69_h_full_arsl,69_h_full_vln,69_h_low_arsl,69_h_low_vln,69_h_med_arsl,69_h_med_vln,69_s_full_arsl,69_s_full_vln,69_s_low_arsl,69_s_low_vln,69_s_med_arsl,69_s_med_vln,113_a_full_arsl,113_a_full_vln,113_a_low_arsl,113_a_low_vln,113_a_med_arsl,113_a_med_vln,113_h_full_arsl,113_h_full_vln,113_h_low_arsl,113_h_low_vln,113_h_med_arsl,113_h_med_vln,113_s_full_arsl,113_s_full_vln,113_s_low_arsl,113_s_low_vln,113_s_med_arsl,113_s_med_vln,,,,,,
8/29/18 11:12,8/29/18 11:23,IP Address,192.180.154.168,100,613,TRUE,8/29/18 11:23,R_12a0VfogGqZWPrc,,,,,37.854599,-85.89610291,anonymous,EN,No,No,60,Female,Some College,White/Caucasian,"$10,000-$19,999",4,,,5,6 - Moderately Negative,6,6 - Moderately Negative,5,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,2,1 - Very Positive,5,6 - Moderately Negative,,,,,7 - Not At All Aroused,7 - Very Negative,5,6 - Moderately Negative,6,7 - Very Negative,2,1 - Very Positive,2,2 - Moderately Positive,1 - Very Aroused,1 - Very Positive,6,6 - Moderately Negative,4,5 - Slightly Negative,5,6 - Moderately Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,2,1 - Very Positive,,,2,1 - Very Positive,6,6 - Moderately Negative,4,4 - Neutral,6,6 - Moderately Negative,4,4 - Neutral,,,,,,,2,1 - Very Positive,1 - Very Aroused,1 - Very Positive,6,6 - Moderately Negative,5,6 - Moderately Negative,4,6 - Moderately Negative,6,7 - Very Negative,,,,,1 - Very Aroused,1 - Very Positive,2,1 - Very Positive,1 - Very Aroused,1 - Very Positive,6,6 - Moderately Negative,,,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,2,1 - Very Positive,6,6 - Moderately Negative,,,4,5 - Slightly Negative,Qual1827-0726Age,5b86d411-7937-40f2-82bb-98b4ebc05301,2890157,,1,
8/29/18 11:14,8/29/18 11:23,IP Address,100.12.108.122,100,558,TRUE,8/29/18 11:23,R_2b2irzLWblk0Fz3,,,,,40.76370239,-73.77249908,anonymous,EN,No,No,61,Female,Some College,White/Caucasian,"$40,000-$49,999",3,,,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,2,1 - Very Positive,6,3 - Slightly Positive,,,2,6 - Moderately Negative,5,5 - Slightly Negative,3,6 - Moderately Negative,3,6 - Moderately Negative,4,5 - Slightly Negative,4,5 - Slightly Negative,4,3 - Slightly Positive,5,4 - Neutral,5,5 - Slightly Negative,2,4 - Neutral,6,5 - Slightly Negative,5,4 - Neutral,5,6 - Moderately Negative,6,4 - Neutral,5,5 - Slightly Negative,2,1 - Very Positive,6,5 - Slightly Negative,2,2 - Moderately Positive,5,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,5,5 - Slightly Negative,6,4 - Neutral,5,4 - Neutral,,,,,5,3 - Slightly Positive,,,4,5 - Slightly Negative,3,5 - Slightly Negative,4,5 - Slightly Negative,,,4,5 - Slightly Negative,2,1 - Very Positive,6,5 - Slightly Negative,4,3 - Slightly Positive,4,5 - Slightly Negative,,,4,5 - Slightly Negative,3,6 - Moderately Negative,5,4 - Neutral,,,2,2 - Moderately Positive,6,4 - Neutral,5,4 - Neutral,,,,,4,4 - Neutral,Qual1827-0726Age,5b86d46c-d7e4-4fbb-9033-33b7b11d83e4,2890157,,1,
8/29/18 11:14,8/29/18 11:23,IP Address,73.40.170.86,100,575,TRUE,8/29/18 11:23,R_2PvQKskGjGuAnzF,,,,,40.33770752,-79.84279633,anonymous,EN,No,No,76,Female,High School Diploma,White/Caucasian,"$20,000-$29,999",3,,,3,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,1 - Very Aroused,2 - Moderately Positive,1 - Very Aroused,7 - Very Negative,,,,,1 - Very Aroused,7 - Very Negative,3,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,2,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,2,7 - Very Negative,2,6 - Moderately Negative,,,2,2 - Moderately Positive,1 - Very Aroused,1 - Very Positive,3,5 - Slightly Negative,3,5 - Slightly Negative,1 - Very Aroused,6 - Moderately Negative,,,2,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,7 - Very Negative,,,,,1 - Very Aroused,7 - Very Negative,3,5 - Slightly Negative,1 - Very Aroused,7 - Very Negative,,,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,,,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,2,7 - Very Negative,3,5 - Slightly Negative,,,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,,,2,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,Qual1827-0726Age,5b86d45b-5a37-4539-a13f-f19e454c6ce8,2890157,,1,
8/29/18 11:13,8/29/18 11:24,IP Address,72.197.236.76,100,612,TRUE,8/29/18 11:24,R_2ScU6jMW7zg4Kjo,,,,,32.97749329,-117.023201,anonymous,EN,No,No,71,Female,Some College,White/Caucasian,"$50,000-$59,000",3,4,3 - Slightly Positive,5,5 - Slightly Negative,5,5 - Slightly Negative,6,5 - Slightly Negative,4,2 - Moderately Positive,4,2 - Moderately Positive,,,5,6 - Moderately Negative,,,5,6 - Moderately Negative,5,7 - Very Negative,5,6 - Moderately Negative,5,7 - Very Negative,4,2 - Moderately Positive,4,2 - Moderately Positive,4,2 - Moderately Positive,4,7 - Very Negative,5,7 - Very Negative,5,7 - Very Negative,6,5 - Slightly Negative,5,5 - Slightly Negative,6,5 - Slightly Negative,5,2 - Moderately Positive,5,2 - Moderately Positive,,,5,5 - Slightly Negative,6,5 - Slightly Negative,5,5 - Slightly Negative,4,6 - Moderately Negative,6,5 - Slightly Negative,5,7 - Very Negative,4,1 - Very Positive,,,5,2 - Moderately Positive,6,6 - Moderately Negative,5,6 - Moderately Negative,4,7 - Very Negative,5,7 - Very Negative,6,5 - Slightly Negative,5,6 - Moderately Negative,,,,,,,,,5,7 - Very Negative,6,6 - Moderately Negative,,,4,6 - Moderately Negative,5,6 - Moderately Negative,,,4,2 - Moderately Positive,5,2 - Moderately Positive,5,7 - Very Negative,5,6 - Moderately Negative,5,6 - Moderately Negative,Qual1827-0726Age,5b86d447-774f-46d1-87a9-eef4238af3d0,2890157,,1,
8/29/18 11:13,8/29/18 11:24,IP Address,108.88.71.199,100,618,TRUE,8/29/18 11:24,R_3NUFBIgveMz3MeA,,,,,36.79670715,-119.9295044,anonymous,EN,No,No,25,Male,High School Diploma,White/Caucasian,"$90,000-$99,999",Very healthy,,,6,5 - Slightly Negative,5,6 - Moderately Negative,6,5 - Slightly Negative,4,2 - Moderately Positive,4,3 - Slightly Positive,,,6,6 - Moderately Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,4,2 - Moderately Positive,4,3 - Slightly Positive,4,2 - Moderately Positive,6,6 - Moderately Negative,6,5 - Slightly Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,4,3 - Slightly Positive,4,3 - Slightly Positive,4,3 - Slightly Positive,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,,,6,6 - Moderately Negative,,,4,2 - Moderately Positive,4,2 - Moderately Positive,,,6,6 - Moderately Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,6,5 - Slightly Negative,,,4,3 - Slightly Positive,4,3 - Slightly Positive,5,5 - Slightly Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,,,,,,,3,2 - Moderately Positive,,,4,3 - Slightly Positive,,,5,5 - Slightly Negative,5,5 - Slightly Negative,Qual1827-0726Age,5b86d44f-b105-4b33-9d52-436aad151422,2890157,,1,
8/29/18 11:15,8/29/18 11:25,IP Address,24.211.152.34,100,595,TRUE,8/29/18 11:25,R_qJ9wvm2702oyRR7,,,,,35.94999695,-78.96160126,anonymous,EN,No,No,66,Female,Some College,White/Caucasian,"$90,000-$99,999",4,,,,,6,5 - Slightly Negative,6,5 - Slightly Negative,3,2 - Moderately Positive,4,3 - Slightly Positive,5,3 - Slightly Positive,6,5 - Slightly Negative,6,5 - Slightly Negative,,,6,7 - Very Negative,,,6,5 - Slightly Negative,6,3 - Slightly Positive,5,3 - Slightly Positive,5,3 - Slightly Positive,6,5 - Slightly Negative,6,6 - Moderately Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,,,6,5 - Slightly Negative,,,4,3 - Slightly Positive,,,5,6 - Moderately Negative,6,5 - Slightly Negative,6,6 - Moderately Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,,,5,3 - Slightly Positive,5,3 - Slightly Positive,5,3 - Slightly Positive,6,5 - Slightly Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,,,,,5,3 - Slightly Positive,5,3 - Slightly Positive,5,3 - Slightly Positive,6,5 - Slightly Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,5,3 - Slightly Positive,,,5,3 - Slightly Positive,4,6 - Moderately Negative,6,5 - Slightly Negative,6,5 - Slightly Negative,Qual1827-0726Age,5b86d4ba-8682-4e11-ab0c-c86bfe549978,2890157,,1,
8/29/18 11:22,8/29/18 11:26,IP Address,73.181.237.242,100,224,TRUE,8/29/18 11:26,R_231PPtgzlV49Ya9,,,,,46.97779846,-122.8715973,anonymous,EN,No,No,30,Female,Bachelor's Degree,Black/African American,"$70,000-$79,999",Very healthy,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,4 - Neutral,1 - Very Aroused,5 - Slightly Negative,1 - Very Aroused,7 - Very Negative,2,5 - Slightly Negative,1 - Very Aroused,6 - Moderately Negative,,,4,2 - Moderately Positive,,,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,4 - Neutral,6,4 - Neutral,2,5 - Slightly Negative,1 - Very Aroused,4 - Neutral,2,4 - Neutral,1 - Very Aroused,6 - Moderately Negative,5,3 - Slightly Positive,4,4 - Neutral,2,3 - Slightly Positive,2,1 - Very Positive,5,7 - Very Negative,,,5,4 - Neutral,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,4 - Neutral,,,2,4 - Neutral,1 - Very Aroused,4 - Neutral,1 - Very Aroused,3 - Slightly Positive,1 - Very Aroused,4 - Neutral,,,3,5 - Slightly Negative,1 - Very Aroused,6 - Moderately Negative,1 - Very Aroused,2 - Moderately Positive,2,5 - Slightly Negative,1 - Very Aroused,4 - Neutral,1 - Very Aroused,5 - Slightly Negative,1 - Very Aroused,4 - Neutral,5,4 - Neutral,3,2 - Moderately Positive,2,5 - Slightly Negative,1 - Very Aroused,2 - Moderately Positive,,,,,2,6 - Moderately Negative,5,4 - Neutral,,,,,6,,1 - Very Aroused,3 - Slightly Positive,1 - Very Aroused,2 - Moderately Positive,1 - Very Aroused,4 - Neutral,1 - Very Aroused,2 - Moderately Positive,,,3,5 - Slightly Negative,Qual1827-0726Age,5b86d661-9580-41f6-ae3f-80687df3f257,2890157,,1,
8/29/18 11:13,8/29/18 11:27,IP Address,24.183.109.71,100,825,TRUE,8/29/18 11:27,R_sA7NbJvbiCMSs9P,,,,,43.11599731,-88.51909637,anonymous,EN,No,No,66,Female,Bachelor's Degree,White/Caucasian,"$40,000-$49,999",4,,,3,6 - Moderately Negative,3,7 - Very Negative,3,6 - Moderately Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,4,5 - Slightly Negative,3,6 - Moderately Negative,,,2,7 - Very Negative,2,7 - Very Negative,,,3,2 - Moderately Positive,2,3 - Slightly Positive,2,2 - Moderately Positive,3,6 - Moderately Negative,4,4 - Neutral,2,6 - Moderately Negative,3,6 - Moderately Negative,3,4 - Neutral,,,,,4,4 - Neutral,3,3 - Slightly Positive,4,4 - Neutral,5,4 - Neutral,4,4 - Neutral,2,7 - Very Negative,3,6 - Moderately Negative,2,7 - Very Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,,,,,3,5 - Slightly Negative,2,6 - Moderately Negative,3,7 - Very Negative,3,7 - Very Negative,2,6 - Moderately Negative,,,2,2 - Moderately Positive,2,2 - Moderately Positive,2,5 - Slightly Negative,3,6 - Moderately Negative,3,6 - Moderately Negative,2,6 - Moderately Negative,,,3,6 - Moderately Negative,2,2 - Moderately Positive,2,2 - Moderately Positive,,,6,6 - Moderately Negative,4,4 - Neutral,,,Qual1827-0726Age,5b86d44a-428c-4ebe-bbf4-077e3bcce657,2890157,,1,
8/29/18 11:15,8/29/18 11:28,IP Address,174.230.8.63,100,771,TRUE,8/29/18 11:28,R_2zutv7Om77xTidS,,,,,42.42410278,-83.30090332,anonymous,EN,No,No,73,Female,Some College,White/Caucasian,"$20,000-$29,999",3,4,4 - Neutral,4,4 - Neutral,5,6 - Moderately Negative,5,4 - Neutral,,,3,3 - Slightly Positive,,,6,7 - Very Negative,5,5 - Slightly Negative,4,5 - Slightly Negative,3,7 - Very Negative,5,6 - Moderately Negative,,,3,2 - Moderately Positive,4,3 - Slightly Positive,,,4,5 - Slightly Negative,4,5 - Slightly Negative,4,4 - Neutral,4,7 - Very Negative,5,6 - Moderately Negative,4,4 - Neutral,3,2 - Moderately Positive,4,2 - Moderately Positive,3,2 - Moderately Positive,5,4 - Neutral,4,4 - Neutral,,,5,6 - Moderately Negative,5,4 - Neutral,4,6 - Moderately Negative,2,1 - Very Positive,4,2 - Moderately Positive,,,5,4 - Neutral,3,4 - Neutral,,,,,5,4 - Neutral,4,4 - Neutral,2,1 - Very Positive,,,2,1 - Very Positive,4,5 - Slightly Negative,4,4 - Neutral,,,5,6 - Moderately Negative,5,6 - Moderately Negative,4,6 - Moderately Negative,2,1 - Very Positive,3,2 - Moderately Positive,3,2 - Moderately Positive,4,5 - Slightly Negative,4,4 - Neutral,4,4 - Neutral,Qual1827-0726Age,5b86d4b4-bb12-4ab6-9ce9-7882fa48f495,2890157,,1,
8/29/18 11:14,8/29/18 11:28,IP Address,66.228.254.120,100,840,TRUE,8/29/18 11:28,R_1DHWHvVGF0B9Igc,,,,,46.17390442,-95.89459991,anonymous,EN,No,No,70,Male,Some College,White/Caucasian,"$50,000-$59,000",4,,,,,7 - Not At All Aroused,7 - Very Negative,,,3,2 - Moderately Positive,3,3 - Slightly Positive,3,3 - Slightly Positive,,,5,3 - Slightly Positive,5,5 - Slightly Negative,2,6 - Moderately Negative,4,5 - Slightly Negative,4,4 - Neutral,2,2 - Moderately Positive,4,3 - Slightly Positive,2,2 - Moderately Positive,5,5 - Slightly Negative,5,5 - Slightly Negative,4,4 - Neutral,6,6 - Moderately Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,1 - Very Aroused,1 - Very Positive,4,3 - Slightly Positive,,,,,5,5 - Slightly Negative,4,4 - Neutral,3,6 - Moderately Negative,5,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,2,2 - Moderately Positive,4,3 - Slightly Positive,3,2 - Moderately Positive,,,,,6,6 - Moderately Negative,,,3,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,5,5 - Slightly Negative,5,6 - Moderately Negative,,,5,5 - Slightly Negative,4,4 - Neutral,4,4 - Neutral,1 - Very Aroused,1 - Very Positive,3,3 - Slightly Positive,1 - Very Aroused,1 - Very Positive,5,5 - Slightly Negative,4,4 - Neutral,,,Qual1827-0726Age,5b86d47b-befd-409a-9f4f-f15f40c40ed7,2890157,,1,
8/29/18 11:21,8/29/18 11:30,IP Address,76.183.46.61,100,537,TRUE,8/29/18 11:30,R_12ffqk3xU6PvZGD,,,,,32.71549988,-96.7684021,anonymous,EN,No,No,37,Female,High School Diploma,Black/African American,"less than $10,000",Very healthy,6,1 - Very Positive,5,6 - Moderately Negative,6,6 - Moderately Negative,5,6 - Moderately Negative,3,3 - Slightly Positive,4,4 - Neutral,3,2 - Moderately Positive,3,5 - Slightly Negative,6,5 - Slightly Negative,,,,,4,5 - Slightly Negative,5,5 - Slightly Negative,3,2 - Moderately Positive,6,4 - Neutral,,,4,6 - Moderately Negative,5,6 - Moderately Negative,6,5 - Slightly Negative,,,4,3 - Slightly Positive,6,6 - Moderately Negative,,,4,6 - Moderately Negative,5,6 - Moderately Negative,5,6 - Moderately Negative,5,6 - Moderately Negative,4,5 - Slightly Negative,5,6 - Moderately Negative,3,5 - Slightly Negative,,,2,2 - Moderately Positive,4,3 - Slightly Positive,5,4 - Neutral,2,3 - Slightly Positive,6,5 - Slightly Negative,6,6 - Moderately Negative,7 - Not At All Aroused,6 - Moderately Negative,3,1 - Very Positive,3,4 - Neutral,3,2 - Moderately Positive,3,4 - Neutral,4,2 - Moderately Positive,4,6 - Moderately Negative,4,5 - Slightly Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,5,6 - Moderately Negative,,,,,3,3 - Slightly Positive,,,7 - Not At All Aroused,6 - Moderately Negative,,,4,1 - Very Positive,Qual1827-0726Age,5b86d627-ec59-44a7-b0e1-06cf6fc08ad8,2890157,,1,
8/29/18 11:14,8/29/18 11:31,IP Address,67.183.37.81,100,1020,TRUE,8/29/18 11:31,R_3HuBQGzVzNVVczo,,,,,47.67379761,-122.3419037,anonymous,EN,No,No,70,Male,Some College,White/Caucasian,"$110,000-$119,999",2,4,4 - Neutral,4,4 - Neutral,5,5 - Slightly Negative,5,5 - Slightly Negative,3,2 - Moderately Positive,3,3 - Slightly Positive,,,6,6 - Moderately Negative,5,6 - Moderately Negative,5,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,2,2 - Moderately Positive,,,,,5,6 - Moderately Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,5,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,,,5,5 - Slightly Negative,4,4 - Neutral,,,5,6 - Moderately Negative,5,5 - Slightly Negative,,,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,3,2 - Moderately Positive,,,5,6 - Moderately Negative,4,5 - Slightly Negative,,,4,5 - Slightly Negative,6,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,4,4 - Neutral,3,3 - Slightly Positive,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,,,6,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,3,3 - Slightly Positive,,,6,6 - Moderately Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,Qual1827-0726Age,5b86d452-72ea-4c28-bce9-505f278fd821,2890157,,1,
8/29/18 11:15,8/29/18 11:32,IP Address,75.143.206.200,100,1057,TRUE,8/29/18 11:32,R_2usNULlVan4mWqp,,,,,47.2993927,-111.344101,anonymous,EN,No,No,52,Male,Some College,White/Caucasian,"$30,000-$39,000",4,,4 - Neutral,2,7 - Very Negative,2,7 - Very Negative,,,2,1 - Very Positive,7 - Not At All Aroused,2 - Moderately Positive,2,1 - Very Positive,2,7 - Very Negative,2,7 - Very Negative,,,1 - Very Aroused,7 - Very Negative,2,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,3,3 - Slightly Positive,,,2,7 - Very Negative,5,5 - Slightly Negative,2,7 - Very Negative,,,7 - Not At All Aroused,7 - Very Negative,4,5 - Slightly Negative,1 - Very Aroused,2 - Moderately Positive,3,2 - Moderately Positive,2,7 - Very Negative,3,7 - Very Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,1 - Very Aroused,7 - Very Negative,3,6 - Moderately Negative,2,6 - Moderately Negative,7 - Not At All Aroused,6 - Moderately Negative,4,1 - Very Positive,7 - Not At All Aroused,5 - Slightly Negative,2,6 - Moderately Negative,3,5 - Slightly Negative,,,,,,,1 - Very Aroused,7 - Very Negative,3,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,7 - Very Negative,,,2,7 - Very Negative,1 - Very Aroused,7 - Very Negative,,,2,7 - Very Negative,,,3,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,7 - Very Negative,3,6 - Moderately Negative,6,3 - Slightly Positive,Qual1827-0726Age,5b86d49a-379e-4252-a4df-d69d13f4539e,2890157,,1,
8/29/18 11:13,8/29/18 11:33,IP Address,73.56.24.129,100,1170,TRUE,8/29/18 11:33,R_NUDbssjzNVRMO8V,,,,,27.15190125,-81.06109619,anonymous,EN,No,No,50,Male,Bachelor's Degree,White/Caucasian,"$60,000-$69,999",2,4,4 - Neutral,4,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,6,6 - Moderately Negative,3,3 - Slightly Positive,4,3 - Slightly Positive,3,3 - Slightly Positive,5,6 - Moderately Negative,,,5,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,4,4 - Neutral,,,,,5,5 - Slightly Negative,4,4 - Neutral,4,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,5,5 - Slightly Negative,,,,,5,3 - Slightly Positive,3,4 - Neutral,5,5 - Slightly Negative,4,4 - Neutral,4,4 - Neutral,,,5,5 - Slightly Negative,5,6 - Moderately Negative,4,3 - Slightly Positive,4,3 - Slightly Positive,3,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,5,5 - Slightly Negative,3,7 - Very Negative,6,7 - Very Negative,4,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,2,2 - Moderately Positive,,,5,5 - Slightly Negative,5,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,6,7 - Very Negative,,,,,,,3,2 - Moderately Positive,6,7 - Very Negative,4,4 - Neutral,5,4 - Neutral,Qual1827-0726Age,5b86d43d-f43a-4493-974c-4d66ef962bca,2890157,,1,
8/29/18 11:24,8/29/18 11:34,IP Address,205.143.6.202,100,584,TRUE,8/29/18 11:34,R_3kLF7WeSkZ6Zona,,,,,27.29289246,-80.52890015,anonymous,EN,No,No,71,Male,Bachelor's Degree,White/Caucasian,"$80,000-$89,999",4,,,5,5 - Slightly Negative,6,5 - Slightly Negative,6,6 - Moderately Negative,2,2 - Moderately Positive,,,3,3 - Slightly Positive,4,4 - Neutral,6,6 - Moderately Negative,,,,,6,5 - Slightly Negative,6,6 - Moderately Negative,2,3 - Slightly Positive,3,3 - Slightly Positive,2,3 - Slightly Positive,7 - Not At All Aroused,6 - Moderately Negative,5,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,3,3 - Slightly Positive,,,3,3 - Slightly Positive,7 - Not At All Aroused,5 - Slightly Negative,6,5 - Slightly Negative,5,4 - Neutral,7 - Not At All Aroused,5 - Slightly Negative,,,7 - Not At All Aroused,6 - Moderately Negative,2,3 - Slightly Positive,2,3 - Slightly Positive,4,3 - Slightly Positive,6,6 - Moderately Negative,,,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,6 - Moderately Negative,4,4 - Neutral,4,4 - Neutral,2,2 - Moderately Positive,,,,,6,6 - Moderately Negative,5,5 - Slightly Negative,5,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,,,6,6 - Moderately Negative,3,3 - Slightly Positive,,,3,3 - Slightly Positive,6,6 - Moderately Negative,4,4 - Neutral,5,4 - Neutral,Qual1827-0726Age,5b86d6d0-77e2-4266-b288-9ba42e87315b,2890157,,1,
8/31/18 13:44,8/31/18 13:53,IP Address,76.180.47.237,100,494,TRUE,8/31/18 13:53,R_3LdSQ9pddLtt4Ju,,,,,42.88540649,-78.75029755,anonymous,EN,No,No,68,Female,Some College,White/Caucasian,"$10,000-$19,999",4,4,4 - Neutral,,,3,5 - Slightly Negative,3,5 - Slightly Negative,3,1 - Very Positive,4,3 - Slightly Positive,,,4,6 - Moderately Negative,3,5 - Slightly Negative,3,6 - Moderately Negative,2,7 - Very Negative,4,5 - Slightly Negative,3,6 - Moderately Negative,,,3,2 - Moderately Positive,,,6,6 - Moderately Negative,3,5 - Slightly Negative,3,5 - Slightly Negative,3,6 - Moderately Negative,4,5 - Slightly Negative,4,5 - Slightly Negative,2,2 - Moderately Positive,4,3 - Slightly Positive,3,3 - Slightly Positive,,,4,4 - Neutral,7 - Not At All Aroused,4 - Neutral,2,7 - Very Negative,3,5 - Slightly Negative,3,5 - Slightly Negative,2,1 - Very Positive,4,3 - Slightly Positive,3,3 - Slightly Positive,,,4,5 - Slightly Negative,4,5 - Slightly Negative,3,6 - Moderately Negative,3,5 - Slightly Negative,3,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,4,2 - Moderately Positive,2,2 - Moderately Positive,5,5 - Slightly Negative,3,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,,,,,2,6 - Moderately Negative,2,1 - Very Positive,3,2 - Moderately Positive,,,2,5 - Slightly Negative,,,5,6 - Moderately Negative,Qual1827-0726Age,5b899aac-fc0f-4413-8561-9fd14d256221,2904619,,1,
