,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,115_a_full_arsl,115_a_full_vln,115_a_full_nat,115_a_low_arsl,115_a_low_vln,115_a_low_nat,115_a_med_arsl,115_a_med_vln,115_a_med_nat,115_h_full_arsl,115_h_full_vln,115_h_full_nat,115_h_low_arsl,115_h_low_vln,115_h_low_nat,115_h_med_arsl,115_h_med_vln,115_h_med_nat,115_s_full_arsl,115_s_full_vln,115_s_full_nat,115_s_low_arsl,115_s_low_vln,115_s_low_nat,115_s_med_arsl,115_s_med_vln,115_s_med_nat,118_a_full_arsl,118_a_full_vln,118_a_full_nat,118_a_low_arsl,118_a_low_vln,118_a_low_nat,118_a_med_arsl,118_a_med_vln,118_a_med_nat,118_h_full_arsl,118_h_full_vln,118_h_full_nat,118_h_low_arsl,118_h_low_vln,118_h_low_nat,118_h_med_arsl,118_h_med_vln,118_h_med_nat,118_s_full_arsl,118_s_full_vln,118_s_full_nat,118_s_low_arsl,118_s_low_vln,118_s_low_nat,118_s_med_arsl,118_s_med_vln,118_s_med_nat,43_a_full_arsl,43_a_full_vln,43_a_full_nat,43_a_low_arsl,43_a_low_vln,43_a_low_nat,43_a_med_arsl,43_a_med_vln,43_a_med_nat,43_h_full_arsl,43_h_full_vln,43_h_full_nat,43_h_low_arsl,43_h_low_vln,43_h_low_nat,43_h_med_arsl,43_h_med_vln,43_h_med_nat,43_s_full_arsl,43_s_full_vln,43_s_full_nat,43_s_low_arsl,43_s_low_vln,43_s_low_nat,43_s_med_arsl,43_s_med_vln,43_s_med_nat,86_a_full_arsl,86_a_full_vln,86_a_full_nat,86_a_low_arsl,86_a_low_vln,86_a_low_nat,86_a_med_arsl,86_a_med_vln,86_a_med_nat,86_h_full_arsl,86_h_full_vln,86_h_full_nat,86_h_low_arsl,86_h_low_vln,86_h_low_nat,86_h_med_arsl,86_h_med_vln,86_h_med_nat,86_s_full_arsl,86_s_full_vln,86_s_full_nat,86_s_low_arsl,86_s_low_vln,86_s_low_nat,86_s_med_arsl,86_s_med_vln,86_s_med_nat,87_a_full_arsl,87_a_full_vln,87_a_full_nat,87_a_low_arsl,87_a_low_vln,87_a_low_nat,87_a_med_arsl,87_a_med_vln,87_a_med_nat,87_h_full_arsl,87_h_full_vln,87_h_full_nat,87_h_low_arsl,87_h_low_vln,87_h_low_nat,87_h_med_arsl,87_h_med_vln,87_h_med_nat,87_s_full_arsl,87_s_full_vln,87_s_full_nat,87_s_low_arsl,87_s_low_vln,87_s_low_nat,87_s_med_arsl,87_s_med_vln,87_s_med_nat,89_a_full_arsl,89_a_full_vln,89_a_full_nat,89_a_low_arsl,89_a_low_vln,89_a_low_nat,89_a_med_arsl,89_a_med_vln,89_a_med_nat,89_h_full_arsl,89_h_full_vln,89_h_full_nat,89_h_low_arsl,89_h_low_vln,89_h_low_nat,89_h_med_arsl,89_h_med_vln,89_h_med_nat,89_s_full_arsl,89_s_full_vln,89_s_full_nat,89_s_low_arsl,89_s_low_vln,89_s_low_nat,89_s_med_arsl,89_s_med_vln,89_s_med_nat,,,,,
11/5/18 15:14,11/5/18 15:25,0,165.227.58.244,100,708,1,11/5/18 15:25,R_1BPG0l1UegBsORV,,,,,37.34829712,-121.9844055,anonymous,EN,2,2,9,1,4,4,11,4,5,4,5,6,2,4,4,2,4,3,4,1,1,6,3,5,5,2,3,5,3,6,3,5,6,4,4,6,4,4,4,4,3,4,3,4,4,3,1,1,6,2,3,4,5,5,4,3,5,3,5,3,5,3,6,4,2,3,5,3,3,5,3,7,2,2,1,6,3,6,2,6,3,5,3,3,3,5,5,3,3,3,4,4,4,4,1,1,6,4,4,5,4,4,4,4,4,5,4,3,3,3,3,3,4,4,5,3,6,4,4,5,4,4,4,4,2,7,2,4,3,4,5,3,5,3,3,4,4,4,6,3,4,5,4,4,5,5,7,2,4,4,3,5,3,3,4,4,4,3,6,2,4,4,4,3,5,2,3,5,5,3,4,5,Qual1827-1101Morphs,5be0c0a5-313f-4391-b122-0d97001e6de5,3280884,1,
11/5/18 15:43,11/5/18 15:53,0,24.10.77.172,100,618,1,11/5/18 15:53,R_t079jFdAA6oqOM9,,,,,37.48260498,-121.1647949,anonymous,EN,2,2,23,2,1,1,3,3,3,4,7,4,4,4,3,3,3,2,2,2,4,5,3,4,2,4,5,4,7,7,4,5,4,2,6,4,2,6,2,5,3,4,2,2,4,4,3,3,2,3,3,2,5,5,3,4,4,2,4,2,2,3,3,3,3,5,3,4,4,3,5,3,2,2,2,3,5,3,4,1,4,3,7,7,1,3,2,2,4,5,4,5,4,3,5,3,4,2,4,5,4,2,2,5,5,4,5,4,2,7,7,1,6,4,5,3,4,4,3,4,5,5,4,3,4,4,3,4,4,2,7,3,2,3,4,4,7,4,3,6,5,4,4,2,2,7,7,3,6,5,4,4,1,3,6,4,2,6,2,3,4,4,5,4,3,4,4,3,5,4,3,4,Qual1827-1101Morphs,5be0c773-999e-4b53-9765-b57a22eeb3f9,3280884,1,
11/5/18 14:51,11/5/18 16:32,0,98.229.224.26,100,6023,1,11/5/18 16:32,R_1ohYqV51XdhELkC,,,,,43.02009583,-71.56970215,anonymous,EN,2,2,29,1,4,1,8,3,1,1,2,6,5,3,5,4,3,5,5,4,2,5,4,3,1,4,3,1,2,5,6,3,5,5,6,5,2,1,7,6,5,5,5,2,7,5,3,2,1,5,4,2,6,3,1,3,5,5,2,6,5,3,6,5,2,6,5,2,6,4,3,6,6,2,2,3,3,3,4,4,2,1,3,6,4,3,5,5,5,5,2,2,6,5,6,4,2,2,6,6,2,2,2,3,3,4,7,3,3,3,6,2,3,6,3,4,4,2,6,5,2,3,5,2,2,7,5,7,6,1,4,3,2,5,2,1,3,7,6,6,4,2,4,5,2,4,6,2,2,6,5,3,6,4,3,2,1,6,4,1,4,3,1,2,6,3,7,4,5,3,5,4,Qual1827-1101Morphs,5be0bb74-ceb2-402d-94c5-f2196375633a,3280884,1,
11/5/18 16:10,11/5/18 16:43,0,108.2.96.170,100,1992,1,11/5/18 16:43,R_24hJQumj0T1FMEg,,,,,39.85499573,-75.69999695,anonymous,EN,2,2,16,1,2,4,1,5,4,4,5,4,5,1,3,3,1,4,3,1,1,6,1,3,5,1,4,5,1,4,5,1,1,6,1,3,4,1,1,4,1,4,5,7,4,4,4,4,4,5,4,5,5,4,4,1,4,2,1,4,3,1,1,6,4,4,4,1,4,5,1,4,5,1,4,5,1,4,5,1,1,5,7,1,5,4,4,5,1,1,2,4,4,4,1,4,5,1,4,2,4,3,3,1,4,5,1,4,3,6,5,4,1,4,5,7,3,5,1,3,5,1,1,5,7,4,2,1,1,6,1,1,5,5,4,5,1,1,5,1,4,2,1,3,5,1,3,4,4,4,3,1,4,5,5,4,4,1,6,5,4,4,4,4,4,4,4,4,4,5,4,5,Qual1827-1101Morphs,5be0cde7-689e-432f-b7e9-8110afc1a9c8,3280884,1,
11/5/18 17:30,11/5/18 17:52,0,73.144.114.195,100,1300,1,11/5/18 17:52,R_3jVwQdUTANbGV0I,,,,,42.64129639,-83.05039978,anonymous,EN,2,2,49,2,2,1,6,4,1,1,7,5,2,7,6,2,6,5,1,3,2,6,3,1,6,4,1,5,6,3,2,4,5,2,6,3,2,6,7,2,6,4,3,6,6,2,6,5,2,7,6,2,6,3,2,7,6,2,7,6,2,7,7,2,7,2,3,3,5,4,6,6,2,5,2,3,5,3,5,5,3,5,6,4,2,6,6,4,7,3,2,7,7,2,5,2,4,7,6,2,4,2,2,6,6,5,4,2,6,6,5,2,6,5,2,5,5,4,6,6,1,7,3,4,7,5,2,4,2,5,4,1,6,4,3,5,7,5,5,6,5,2,6,5,2,7,6,2,6,3,2,7,6,2,4,2,5,4,2,5,3,2,5,7,7,2,5,3,4,6,5,2,Qual1827-1101Morphs,5be0e0a3-685b-4426-a5ef-d5850689a6c3,3280884,1,
11/5/18 17:26,11/5/18 18:00,0,74.47.101.205,100,2037,1,11/5/18 18:00,R_s7Q1SISqMrgjdh7,,,,,34.78239441,-114.5870972,anonymous,EN,2,2,47,2,5,1,2,2,3,2,7,4,2,4,4,2,4,4,2,3,2,4,3,2,5,3,3,5,5,4,2,6,5,2,5,5,4,2,6,3,4,4,5,5,5,2,4,4,4,4,3,2,3,7,1,3,6,5,7,4,2,5,5,2,4,5,2,4,4,3,4,4,3,3,3,4,5,6,1,3,2,5,3,6,4,5,5,4,5,6,4,5,5,4,3,2,5,5,4,4,2,1,6,2,2,5,4,2,4,6,5,2,5,5,2,3,5,2,7,4,1,3,6,5,7,5,2,3,2,5,5,5,6,3,3,4,7,4,1,5,4,2,4,5,2,6,7,1,5,5,2,7,5,1,2,1,6,2,1,6,3,2,4,7,6,2,7,7,1,7,5,1,Qual1827-1101Morphs,5be0dfc0-8473-41d3-95d2-5a7a3517dd8b,3280884,1,
11/5/18 18:07,11/5/18 18:37,0,71.92.41.58,100,1780,1,11/5/18 18:37,R_3JgC507smpFJbwG,,,,,33.15119934,-85.37220001,anonymous,EN,2,2,43,2,2,1,4,3,7,2,2,2,5,5,4,3,4,4,3,5,2,6,5,2,3,3,1,6,5,4,3,4,3,3,4,3,4,4,3,3,7,4,3,4,4,4,5,3,4,6,4,3,7,7,2,7,4,3,5,3,5,4,3,3,5,5,1,7,5,3,4,4,3,4,2,5,5,3,6,5,5,5,4,5,2,3,3,3,5,3,3,3,1,6,6,3,3,7,4,2,3,1,6,4,2,5,2,1,6,4,2,6,5,5,5,3,3,3,3,6,2,5,4,4,7,6,2,2,1,6,3,1,6,4,3,5,4,3,2,7,7,2,5,4,3,5,5,1,3,3,4,3,3,3,5,2,6,3,1,6,4,3,3,7,7,1,5,4,4,7,5,2,Qual1827-1101Morphs,5be0e94c-b9fe-4b4c-9046-c02fb65681a2,3280884,1,
11/5/18 18:36,11/5/18 18:46,0,172.221.22.64,100,603,1,11/5/18 18:46,R_33lGLSEUdUIvJqq,,,,,39.54829407,-119.7957001,anonymous,EN,2,2,2,1,5,4,3,4,5,2,4,4,2,2,5,2,2,5,3,3,4,3,4,5,2,3,5,2,5,2,5,4,4,4,3,2,5,4,6,2,3,5,2,3,5,2,2,5,2,3,2,3,3,5,2,4,3,3,2,6,2,2,5,2,3,5,4,3,3,2,3,4,4,2,5,2,3,5,2,3,5,2,1,6,1,3,5,2,3,3,2,3,5,2,3,6,2,3,6,1,3,4,2,5,2,5,2,7,1,2,6,2,2,6,1,1,6,2,3,4,2,2,4,2,3,6,1,4,3,2,2,4,1,3,6,2,1,7,1,2,6,2,3,5,2,3,4,4,3,5,2,1,7,1,3,5,2,3,3,2,3,6,2,3,6,2,2,6,2,2,7,1,Qual1827-1101Morphs,5be0efff-4dcf-41f3-bfcf-3839f6a66eee,3280884,1,
11/5/18 18:48,11/5/18 18:55,0,107.13.161.131,100,423,1,11/5/18 18:55,R_3PjiGTM3ZOjytIb,,,,,35.76449585,-78.7111969,anonymous,EN,2,2,7,2,5,3,5,4,3,3,6,4,2,3,5,3,5,4,2,5,6,2,6,3,1,5,2,4,2,1,3,5,7,1,2,4,4,3,1,3,2,6,1,4,7,1,2,5,3,4,7,5,4,4,2,3,4,5,2,4,6,7,2,2,6,1,3,2,4,2,2,1,2,3,6,6,5,4,2,4,3,5,3,1,2,2,2,4,5,7,5,4,2,4,2,4,1,2,1,3,3,5,6,5,3,2,5,3,5,3,5,6,3,4,2,3,1,3,6,4,6,4,7,2,5,4,4,6,4,4,5,7,2,6,4,2,2,1,2,2,1,2,1,4,5,3,1,6,2,7,2,3,5,6,3,4,4,4,7,5,3,1,5,5,3,5,6,4,5,5,3,2,Qual1827-1101Morphs,5be0f2f7-cc78-4a9d-a200-d574d8d5b96f,3280884,1,
11/5/18 18:57,11/5/18 19:10,0,137.25.28.117,100,774,1,11/5/18 19:10,R_xrBDFzNbK7uEUQF,,,,,34.01330566,-118.112999,anonymous,EN,2,2,46,2,3,1,5,3,6,4,7,4,2,7,4,4,7,4,1,7,2,5,7,3,5,7,2,5,7,4,2,7,4,2,7,4,2,7,5,2,7,4,3,7,4,5,7,6,1,7,4,4,7,4,3,7,4,5,7,5,4,7,6,2,7,7,1,7,3,5,7,7,1,7,4,2,7,4,5,7,3,5,7,6,1,7,5,4,7,5,2,7,7,1,7,4,2,7,4,5,7,3,5,7,3,5,7,3,5,7,5,1,7,4,2,7,5,2,7,6,1,7,4,1,7,7,1,7,2,5,7,3,5,7,2,5,7,6,1,7,4,2,7,5,2,7,4,1,7,6,2,7,4,1,7,2,3,7,2,5,7,3,5,7,5,1,7,5,3,7,5,2,Qual1827-1101Morphs,5be0f502-078b-414c-a426-a17da009481b,3280884,1,
11/5/18 18:29,11/5/18 19:29,0,107.77.205.94,100,3610,1,11/5/18 19:29,R_1IMJJuDoAExN50H,,,,,61.21159363,-149.8760986,anonymous,EN,2,2,28,1,3,1,4,4,3,2,7,6,5,7,6,5,7,6,5,6,2,5,7,2,4,6,2,5,7,6,5,7,6,5,5,2,5,7,6,5,7,2,5,7,2,5,7,2,5,7,6,5,7,6,5,7,6,5,7,6,5,7,6,5,7,6,5,7,6,5,7,6,5,7,1,5,7,2,5,7,2,5,7,6,5,7,6,5,6,6,5,7,6,5,6,6,5,7,6,5,7,6,5,7,2,5,7,2,5,7,6,5,7,2,5,7,6,5,7,6,5,7,6,5,7,6,5,7,2,5,6,2,5,6,6,5,7,7,5,7,6,5,7,2,5,7,6,5,7,6,5,7,2,5,7,3,5,7,2,5,7,1,5,7,2,5,7,6,5,7,2,5,Qual1827-1101Morphs,5be0ee76-c077-40ae-b451-ddfa3aa90964,3280884,1,
11/5/18 19:30,11/5/18 19:40,0,96.28.67.23,100,590,1,11/5/18 19:40,R_2f8PpJozLLzGYLk,,,,,38.35600281,-85.60829926,anonymous,EN,2,2,23,2,4,1,15,4,4,5,6,6,2,6,6,3,6,5,2,3,3,5,3,2,3,6,7,3,6,6,2,6,6,2,7,7,1,5,5,2,6,6,2,6,6,1,5,7,1,6,5,2,6,6,2,6,5,3,7,5,2,7,6,2,6,6,2,5,6,2,6,6,2,6,6,2,3,3,3,6,3,2,4,4,5,6,5,2,6,4,5,5,6,1,6,6,2,6,6,2,2,3,6,3,3,4,5,6,2,5,6,2,5,6,2,6,7,2,6,6,2,6,6,2,5,5,2,2,2,5,6,7,2,3,2,3,6,6,1,5,6,3,6,6,2,6,6,2,6,6,2,6,6,2,6,7,2,6,7,2,2,3,4,6,6,2,6,6,2,6,6,2,Qual1827-1101Morphs,5be0fcae-9b5b-40c5-8fb1-7e90596e7018,3280884,1,
11/5/18 19:15,11/5/18 19:55,0,50.109.109.6,100,2426,1,11/5/18 19:55,R_2Ebr24bReD7fAnO,,,,,40.1486969,-88.96269989,anonymous,EN,2,2,48,2,4,1,5,4,4,4,7,6,1,5,5,3,7,6,1,1,2,5,1,3,6,1,3,6,5,6,3,6,5,3,6,5,2,6,5,2,6,5,3,7,6,2,2,3,5,2,3,4,1,3,6,6,5,2,5,5,4,7,6,2,7,7,1,5,6,3,7,6,1,2,3,5,3,4,4,2,3,4,7,6,3,5,6,3,6,5,4,7,6,1,2,3,5,7,6,1,1,2,6,2,3,6,3,5,6,5,4,5,6,5,3,5,3,5,7,6,1,6,5,4,7,6,2,1,2,5,2,4,4,1,3,2,7,5,2,6,5,3,7,5,1,7,7,1,7,6,2,7,6,1,1,3,5,1,3,6,1,6,4,6,5,1,5,3,3,7,6,1,Qual1827-1101Morphs,5be0f928-9f52-45ee-bedc-79b6c603838f,3280884,1,
11/7/18 10:38,11/7/18 10:50,0,66.231.126.88,100,769,1,11/7/18 10:50,R_2qfSSjT0SJz01Gs,,,,,48.83790588,-99.76879883,anonymous,EN,2,2,4,2,1,5,1,1,4,4,4,7,6,4,5,3,4,4,3,3,2,5,5,4,5,2,6,4,7,5,3,5,6,4,5,4,5,6,4,2,4,5,2,4,1,4,1,2,5,3,2,3,3,5,3,2,5,1,3,5,6,7,6,2,5,7,3,5,5,3,5,5,4,1,2,6,3,3,5,4,2,5,6,6,5,4,4,5,3,3,4,2,5,3,3,4,5,7,6,3,3,2,5,4,4,5,3,2,5,5,7,4,4,5,4,5,6,5,7,7,5,3,7,5,7,5,3,4,3,5,2,5,4,3,3,3,6,6,5,5,6,5,5,4,6,7,7,2,4,4,3,6,5,4,1,1,6,5,3,3,3,3,5,6,6,4,6,6,5,6,5,5,Qual1827-1101Morphs,5be322f8-050e-4c12-be08-0779a2677984,3296180,1,
11/7/18 11:11,11/7/18 11:29,0,174.255.204.172,100,1088,1,11/7/18 11:29,R_410AoLaUOqRQ5i1,,,,,37.75100708,-97.8219986,anonymous,EN,2,2,9,2,2,1,4,3,4,4,5,5,1,7,6,1,7,7,4,1,1,6,3,3,4,1,1,5,4,4,3,4,3,3,5,4,4,7,7,2,5,6,2,4,4,4,1,3,5,4,3,3,3,3,3,7,7,2,6,5,2,4,4,5,7,7,1,7,7,1,6,6,2,1,1,6,1,1,6,4,4,4,5,6,5,4,3,3,6,6,5,7,7,2,3,3,4,5,4,4,1,1,6,1,1,3,1,1,6,7,6,2,6,4,3,4,3,3,7,7,3,7,7,5,7,2,3,1,1,6,1,1,6,1,1,6,4,3,3,6,6,3,5,5,4,7,7,1,6,6,3,7,1,1,1,1,6,1,1,3,1,1,5,5,5,4,5,5,2,4,4,4,Qual1827-1101Morphs,5be32ab5-df46-443e-ba8c-11231d4c7389,3296180,1,
11/7/18 11:50,11/7/18 12:16,0,24.125.1.13,100,1551,1,11/7/18 12:16,R_sUwjT5ub8ibLH9f,,,,,33.9382019,-84.54029846,anonymous,EN,2,2,50,2,4,1,5,4,4,4,3,6,3,4,5,4,3,6,2,1,1,6,4,4,5,3,2,5,3,5,4,3,5,3,5,6,2,1,7,2,4,5,3,3,6,3,2,1,6,4,4,4,3,4,4,3,5,3,3,5,5,3,5,3,2,7,2,3,5,3,3,5,4,1,1,6,3,3,4,3,2,5,2,7,5,5,5,2,3,5,3,1,7,2,3,2,5,3,6,3,1,1,6,3,2,5,3,2,5,1,7,3,3,6,4,4,5,4,1,7,6,3,6,4,2,6,2,2,1,6,3,3,4,2,2,5,3,6,2,4,5,4,5,5,2,1,7,2,4,6,5,2,6,2,1,1,6,3,3,4,2,1,5,3,6,2,5,5,2,4,5,3,Qual1827-1101Morphs,5be3340e-2552-4012-b769-91523d8da589,3296180,1,
11/7/18 11:54,11/7/18 12:20,0,99.90.232.39,100,1575,1,11/7/18 12:20,R_x2SUEFI3yCoks3n,,,,,32.74920654,-96.83889771,anonymous,EN,2,2,46,2,5,2,1,5,7,4,1,7,1,2,6,2,2,6,2,1,1,6,4,1,6,2,1,5,2,6,2,6,5,2,2,5,2,1,7,1,6,5,3,5,6,2,2,2,3,4,2,5,2,2,4,2,5,4,7,4,5,4,6,2,1,7,1,3,7,1,1,7,1,1,1,5,5,2,5,2,2,5,2,7,1,4,5,2,3,7,1,1,7,1,2,2,5,2,6,1,1,1,6,4,3,5,2,2,5,1,7,1,1,7,1,4,6,1,1,7,1,4,6,2,2,6,2,1,1,6,2,2,5,2,2,5,1,7,1,6,5,2,4,6,2,1,7,1,2,6,1,4,6,2,1,1,5,2,1,6,2,2,5,2,6,1,4,5,2,7,5,3,Qual1827-1101Morphs,5be334dc-9b14-4801-b72e-59c30da0094c,3296180,1,
11/7/18 12:44,11/7/18 13:03,0,184.55.201.116,100,1106,1,11/7/18 13:03,R_AspTqpa1zEX2QQp,,,,,43.14089966,-87.90730286,anonymous,EN,2,2,23,2,1,1,6,5,4,4,7,7,1,7,7,1,7,7,1,1,1,6,1,1,6,1,1,6,7,7,1,7,7,1,7,4,4,7,7,1,7,7,1,7,7,1,1,1,6,1,1,6,1,1,6,7,7,1,7,4,2,7,7,1,7,7,1,7,7,1,7,7,1,1,1,6,1,1,6,1,1,6,1,7,1,7,7,1,7,7,1,6,7,1,1,1,6,7,7,1,1,1,6,1,1,6,1,1,6,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,1,1,1,1,1,6,1,1,6,7,7,1,7,4,2,7,4,2,7,7,6,7,7,1,7,7,1,1,1,6,1,1,6,1,1,6,7,7,1,7,4,2,7,7,1,Qual1827-1101Morphs,5be3409f-37e2-434d-bfad-83fa37843f2d,3296180,1,
11/7/18 16:29,11/7/18 17:04,0,76.244.138.252,100,2071,1,11/7/18 17:04,R_24Pro5KMhhCha82,,,,,41.11659241,-87.86959839,anonymous,EN,2,2,47,2,3,1,6,4,7,4,3,5,5,3,5,5,5,6,4,2,1,6,5,3,3,2,3,5,3,5,5,7,4,5,7,5,5,4,5,5,4,5,5,4,5,5,1,1,5,3,3,5,1,1,6,6,4,5,6,6,5,3,5,3,4,5,4,7,5,5,3,5,5,1,1,5,3,3,5,2,1,5,2,6,5,7,4,5,4,5,5,3,5,5,5,1,6,3,5,5,1,1,5,3,3,5,1,1,6,3,6,5,3,5,5,4,6,4,1,7,5,5,6,3,3,6,5,2,2,2,7,4,6,2,2,5,3,5,4,5,4,5,4,5,4,2,7,5,7,5,5,3,6,5,1,1,5,3,2,1,3,2,2,4,5,5,7,4,5,6,4,5,Qual1827-1101Morphs,5be37564-209e-4532-ae23-40aa8a4c7b71,3296180,1,
11/7/18 20:55,11/7/18 21:14,0,72.190.231.12,100,1135,1,11/7/18 21:14,R_1GxIbLpVYVVXTQa,,,,,29.34989929,-98.563797,anonymous,EN,2,2,36,2,3,4,16,3,5,5,1,7,1,7,7,1,1,7,1,1,1,6,1,1,6,1,1,6,3,2,2,7,7,1,7,7,1,7,7,1,2,7,1,6,7,1,1,1,6,2,1,5,1,1,6,1,7,1,7,7,1,7,7,1,1,7,1,1,7,1,7,7,1,1,1,6,2,2,5,2,2,5,7,7,1,6,5,2,6,5,2,1,7,1,1,1,6,7,7,1,1,1,6,3,1,6,1,1,6,7,7,1,5,5,2,2,6,2,1,7,1,1,7,1,7,7,1,5,1,6,2,2,5,7,4,1,7,7,1,7,5,2,6,5,2,7,7,1,7,7,1,1,7,1,4,1,6,1,1,6,1,1,6,7,6,2,5,5,2,7,7,1,Qual1827-1101Morphs,5be3b3bc-102d-4a44-b32a-b50ce9742422,3296180,1,
11/7/18 21:11,11/7/18 21:32,0,98.28.108.219,100,1305,1,11/7/18 21:32,R_ezzwIgszMsfgD5v,,,,,41.16229248,-83.41390228,anonymous,EN,2,2,59,2,2,1,10,3,5,4,5,3,3,5,4,4,5,3,6,4,2,5,5,3,4,5,3,6,4,3,5,5,4,5,4,2,3,5,4,4,5,4,4,5,4,5,5,4,5,5,4,5,5,4,4,5,4,3,5,5,2,5,4,5,5,4,4,4,4,3,4,4,3,5,4,4,5,3,5,5,4,4,5,6,2,5,4,3,5,4,4,5,5,3,5,4,5,5,4,4,4,2,5,5,3,5,5,3,4,5,4,4,5,5,2,5,4,4,4,4,2,5,3,4,5,5,2,4,2,5,5,2,4,4,1,5,5,2,5,5,3,5,5,4,2,5,4,4,5,3,3,5,3,4,5,4,5,5,2,5,5,2,1,5,4,5,5,5,4,5,4,3,Qual1827-1101Morphs,5be3b74f-11df-44d0-8f83-ec28d6219296,3296180,1,
11/7/18 21:52,11/7/18 22:07,0,107.77.241.2,100,946,1,11/7/18 22:07,R_3m7xmZMpSAETT1a,,,,,36.16589355,-86.78440094,anonymous,EN,2,2,20,2,1,1,3,3,1,4,7,7,5,5,4,3,7,7,1,5,4,3,6,6,5,7,4,4,7,7,2,6,6,2,7,7,6,7,7,1,4,4,3,7,1,3,4,3,3,4,3,3,4,4,4,7,7,6,7,7,6,7,7,2,7,7,2,7,7,6,7,7,6,6,6,5,6,6,5,5,4,4,7,7,1,7,7,1,7,7,6,6,6,3,5,4,4,6,5,2,7,4,4,5,4,4,5,4,4,7,7,2,7,7,2,7,7,2,6,6,5,4,4,5,7,7,2,2,2,5,4,3,3,5,5,4,5,4,3,5,4,3,7,7,6,7,7,5,5,5,4,7,7,1,1,1,5,5,4,4,4,4,3,7,7,2,5,4,5,7,7,3,Qual1827-1101Morphs,5be3c0ee-dec3-489f-8cf9-335397d36b98,3296180,1,
11/7/18 22:18,11/7/18 22:32,0,69.130.253.202,100,838,1,11/7/18 22:32,R_24eExL7kARvM6kw,,,,,43.18179321,-89.45320129,anonymous,EN,2,2,11,1,5,1,14,5,3,2,2,7,2,6,5,3,4,3,3,1,2,5,5,4,4,3,3,3,3,3,4,7,7,1,7,6,2,5,4,2,5,5,1,2,5,3,1,1,5,5,3,6,2,4,5,4,4,2,6,5,4,4,5,4,1,7,5,5,6,5,3,5,2,1,1,5,5,5,2,3,2,5,3,3,4,7,6,2,3,2,4,1,7,6,4,3,3,5,4,4,1,1,6,2,1,6,2,1,3,3,4,4,3,1,4,3,5,2,1,7,5,7,6,2,4,5,4,3,2,6,3,2,3,3,3,5,4,6,6,7,5,1,6,5,3,3,6,5,6,6,2,2,2,5,1,1,6,5,3,5,2,2,5,4,5,3,6,7,2,5,4,4,Qual1827-1101Morphs,5be3c727-ea1b-4937-a85f-6e8cd21f043b,3296180,1,
11/7/18 22:16,11/7/18 22:32,0,104.50.129.239,100,955,1,11/7/18 22:32,R_1f7NSpmkPxvEJ9h,,,,,39.49719238,-119.7763977,anonymous,EN,2,2,17,2,4,3,16,3,4,2,4,4,3,4,4,3,4,4,4,3,3,5,3,4,4,3,3,5,2,3,5,4,4,4,3,4,5,3,5,2,4,4,4,3,5,3,4,5,4,4,4,3,3,3,5,4,4,3,3,4,4,4,4,4,3,5,4,5,6,4,4,4,3,7,5,2,3,3,4,5,4,3,4,3,5,7,7,2,7,5,2,4,4,3,4,4,3,4,4,4,3,2,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,5,4,2,2,5,4,4,3,2,2,5,5,5,3,4,4,4,4,4,4,3,5,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,5,3,4,5,5,4,4,Qual1827-1101Morphs,5be3c6b2-bf05-4576-b3ca-8148d95dd6fd,3296180,1,
11/7/18 22:11,11/7/18 22:35,0,198.210.125.239,100,1480,1,11/7/18 22:35,R_3fcmqAKAS1Opkjl,,,,,38.87820435,-99.33480072,anonymous,EN,2,2,32,2,3,1,1,1,4,2,4,3,4,4,4,4,3,5,4,5,5,2,3,5,2,4,5,2,3,3,5,3,3,4,4,4,4,4,3,4,5,4,2,5,4,5,5,5,2,5,6,2,4,5,3,4,4,5,5,3,3,3,4,4,4,5,4,5,5,4,4,4,4,5,6,2,4,3,4,4,2,5,4,4,5,4,4,5,4,3,4,4,4,3,4,3,4,6,5,2,3,3,3,4,4,4,3,2,4,5,4,4,4,5,3,4,3,4,5,5,4,4,3,5,4,4,4,4,5,2,5,5,1,4,5,2,4,3,4,4,4,4,4,3,4,4,4,5,3,3,5,4,4,4,5,5,2,5,5,2,4,5,2,4,4,4,4,4,4,4,4,5,Qual1827-1101Morphs,5be3c563-c44c-487c-88c2-2e9697cdda29,3296180,1,
