"subnum","age","X04_a_low_arsl","X04_a_low_vln","X04_a_full_arsl","X04_a_full_vln","X04_a_med_arsl","X04_a_med_vln","X04_h_full_arsl","X04_h_full_vln","X04_h_low_arsl","X04_h_low_vln","X04_h_med_arsl","X04_h_med_vln","X04_s_full_arsl","X04_s_full_vln","X04_s_low_arsl","X04_s_low_vln","X04_s_med_arsl","X04_s_med_vln","X116_a_full_arsl","X116_a_full_vln","X116_a_low_arsl","X116_a_low_vln","X116_a_med_arsl","X116_a_med_vln","X116_h_full_arsl","X116_h_full_vln","X116_h_low_arsl","X116_h_low_vln","X116_h_med_arsl","X116_h_med_vln","X116_s_full_arsl","X116_s_full_vln","X116_s_low_arsl","X116_s_low_vln","X116_s_med_arsl","X116_s_med_vln","X133_a_full_arsl","X133_a_full_vln","X133_a_low_arsl","X133_a_low_vln","X133_a_med_arsl","X133_a_med_vln","X133_h_full_arsl","X133_h_full_vln","X133_h_low_arsl","X133_h_low_vln","X133_h_med_arsl","X133_h_med_vln","X133_s_full_arsl","X133_s_full_vln","X133_s_low_arsl","X133_s_low_vln","X133_s_med_arsl","X133_s_med_vln","X49_a_full_arsl","X49_a_full_vln","X49_a_low_arsl","X49_a_low_vln","X49_a_med_arsl","X49_a_med_vln","X49_h_full_arsl","X49_h_full_vln","X49_h_low_arsl","X49_h_low_vln","X49_h_med_arsl","X49_h_med_vln","X49_s_full_arsl","X49_s_full_vln","X49_s_low_arsl","X49_s_low_vln","X49_s_med_arsl","X49_s_med_vln","X69_a_full_arsl","X69_a_full_vln","X69_a_low_arsl","X69_a_low_vln","X69_a_med_arsl","X69_a_med_vln","X69_h_full_arsl","X69_h_full_vln","X69_h_low_arsl","X69_h_low_vln","X69_h_med_arsl","X69_h_med_vln","X69_s_full_arsl","X69_s_full_vln","X69_s_low_arsl","X69_s_low_vln","X69_s_med_arsl","X69_s_med_vln","X113_a_full_arsl","X113_a_full_vln","X113_a_low_arsl","X113_a_low_vln","X113_a_med_arsl","X113_a_med_vln","X113_h_full_arsl","X113_h_full_vln","X113_h_low_arsl","X113_h_low_vln","X113_h_med_arsl","X113_h_med_vln","X113_s_full_arsl","X113_s_full_vln","X113_s_low_arsl","X113_s_low_vln","X113_s_med_arsl","X113_s_med_vln"
19,"50",4,5,7,7,6,6,3,3,4,3,3,3,5,6,NA,NA,5,5,7,7,7,7,7,7,4,4,NA,NA,NA,NA,5,5,4,4,4,4,7,7,5,5,NA,NA,NA,NA,5,3,3,4,5,5,4,4,4,4,NA,NA,5,5,5,6,4,3,4,3,3,3,4,4,4,4,5,5,3,7,6,7,4,6,1,1,2,2,2,2,NA,NA,5,5,5,6,7,7,6,7,NA,NA,NA,NA,NA,NA,3,2,6,7,4,4,5,4
20,"71",5,5,6,5,6,6,2,2,NA,NA,3,3,4,4,6,6,NA,NA,NA,NA,6,5,6,6,2,3,3,3,2,3,7,6,5,5,7,6,6,6,6,6,6,6,3,3,NA,NA,3,3,7,5,6,5,5,4,7,5,NA,NA,7,6,2,3,2,3,4,3,6,6,NA,NA,7,6,7,6,4,4,4,4,2,2,NA,NA,NA,NA,6,6,5,5,5,5,7,6,NA,NA,6,6,3,3,NA,NA,3,3,6,6,4,4,5,4
21,"68",NA,NA,3,5,3,5,3,1,4,3,NA,NA,4,6,3,5,3,6,2,7,4,5,3,6,NA,NA,3,2,NA,NA,6,6,3,5,3,5,3,6,4,5,4,5,2,2,4,3,3,3,NA,NA,4,4,7,4,2,7,3,5,3,5,2,1,4,3,3,3,NA,NA,4,5,4,5,3,6,3,5,3,6,1,1,4,2,2,2,5,5,3,5,7,6,NA,NA,NA,NA,2,6,2,1,3,2,NA,NA,2,5,NA,NA,5,6
22,"35",7,7,7,7,7,7,7,7,NA,NA,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,7,7,NA,NA,7,7,4,4,7,7,7,7,7,6,NA,NA,NA,NA,7,7,NA,NA,NA,NA,6,5,7,7,7,7,7,7,NA,NA,NA,NA,7,7,7,7,NA,NA,7,7,7,7,7,7,7,7
23,"73",4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,NA,NA,4,4,1,7,1,7,1,7,1,7,NA,NA,NA,NA,1,7,1,7,1,7,4,4,4,4,4,4,4,5,4,4,4,5,NA,NA,4,4,4,5,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,4,NA,NA,4,4,4,4,NA,NA,4,4,4,4,4,4
24,"26",5,4,3,5,4,5,5,3,6,6,NA,NA,5,5,5,3,4,4,5,4,6,3,1,7,3,4,4,3,5,4,3,7,4,4,3,6,5,4,5,4,5,4,3,7,NA,NA,5,4,7,7,4,5,NA,NA,3,4,4,3,4,2,NA,NA,5,4,4,4,5,5,4,4,3,4,NA,NA,5,4,NA,NA,3,5,4,3,5,3,4,4,4,4,6,4,4,4,NA,NA,NA,NA,NA,NA,4,5,4,4,3,5,NA,NA,3,5
25,"64",5,6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,7,6,6,6,6,3,2,2,2,2,2,5,5,6,6,6,6,6,6,5,6,5,5,3,2,3,3,2,2,6,6,4,4,6,6,6,6,6,6,NA,NA,2,2,3,2,NA,NA,6,6,6,6,NA,NA,6,6,5,6,6,6,2,2,3,3,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,2,1,2,2,2,2,6,6,6,6,5,5
26,"74",NA,NA,4,7,4,5,2,2,4,3,3,2,4,6,4,6,4,5,4,6,NA,NA,4,4,3,3,4,3,3,2,4,6,4,5,4,5,NA,NA,4,5,4,6,3,2,4,3,3,3,4,5,4,5,4,5,NA,NA,4,5,5,6,4,2,3,2,NA,NA,4,5,4,5,4,5,4,5,NA,NA,4,5,2,2,3,2,3,2,4,6,NA,NA,4,6,NA,NA,NA,NA,4,5,2,2,4,5,4,2,2,6,NA,NA,4,5
27,"43",6,4,7,5,5,5,1,1,2,2,2,2,2,6,2,3,4,5,1,7,4,5,NA,NA,3,2,NA,NA,NA,NA,2,5,6,5,NA,NA,NA,NA,6,5,3,6,1,1,5,3,2,2,6,4,7,4,NA,NA,6,4,NA,NA,5,5,1,1,NA,NA,2,2,3,4,6,4,5,5,2,7,2,7,1,7,1,1,6,4,1,2,4,3,5,4,4,4,NA,NA,6,4,NA,NA,1,1,3,3,1,1,2,5,5,5,4,4
28,"47",2,4,3,4,7,4,1,1,3,4,3,4,1,4,3,4,NA,NA,1,5,3,4,4,4,1,4,3,4,3,4,7,4,3,4,NA,NA,NA,NA,3,4,3,4,NA,NA,3,4,1,1,3,4,4,4,NA,NA,3,4,3,4,3,4,1,4,2,4,2,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,3,4,1,1,3,4,4,4,3,4,3,4,4,4,3,4,3,4,1,4,3,4,2,4,2,4,NA,NA
29,"35",NA,NA,NA,NA,7,7,7,2,7,6,7,4,7,6,NA,NA,7,6,7,7,7,7,7,7,7,4,7,7,7,3,NA,NA,7,6,7,7,7,7,7,6,7,7,NA,NA,7,3,NA,NA,7,5,7,6,7,5,7,6,7,7,NA,NA,7,3,7,6,NA,NA,7,6,7,7,7,5,7,7,7,7,7,6,6,6,7,4,6,2,7,6,7,5,NA,NA,NA,NA,7,5,7,6,7,3,7,3,7,6,7,6,7,7,7,5
30,"68",7,4,7,5,NA,NA,7,1,7,2,NA,NA,7,4,7,4,7,4,7,5,7,7,7,7,7,2,7,2,7,2,7,6,7,5,NA,NA,7,4,7,4,7,4,7,1,7,5,NA,NA,6,5,7,4,7,6,7,4,7,4,7,6,7,2,7,3,7,2,6,6,7,4,NA,NA,7,6,7,4,7,6,6,1,7,2,7,1,NA,NA,NA,NA,7,6,NA,NA,7,6,7,6,6,2,NA,NA,NA,NA,7,4,7,5,7,5
31,"38",6,6,NA,NA,7,7,1,1,NA,NA,NA,NA,6,6,7,7,6,6,7,7,6,6,7,7,1,2,2,2,1,1,7,7,6,5,6,6,7,7,5,5,7,7,1,1,2,2,NA,NA,NA,NA,4,4,5,5,7,7,5,5,7,7,NA,NA,NA,NA,2,2,NA,NA,5,5,7,7,2,6,3,5,6,6,1,1,2,2,2,2,6,6,6,6,NA,NA,7,7,6,6,7,7,1,1,1,1,NA,NA,7,7,5,5,6,6
32,"70",4,4,NA,NA,4,5,3,2,4,3,4,3,NA,NA,4,5,5,5,3,7,4,5,5,6,4,2,4,3,4,3,4,6,5,4,6,5,NA,NA,NA,NA,4,5,3,1,4,3,4,3,4,4,4,4,4,4,NA,NA,4,4,4,5,3,2,NA,NA,NA,NA,NA,NA,4,4,4,5,5,6,5,5,4,6,3,1,NA,NA,NA,NA,4,5,5,6,4,5,3,6,4,5,3,5,3,1,4,2,3,2,3,6,4,5,4,5
33,"66",2,7,1,7,2,5,1,1,2,2,NA,NA,NA,NA,2,6,1,7,1,7,1,7,NA,NA,1,1,2,2,NA,NA,1,7,3,5,1,6,2,7,3,5,NA,NA,NA,NA,3,2,1,2,2,6,5,5,2,6,1,7,1,6,1,7,1,1,NA,NA,1,2,NA,NA,1,6,NA,NA,1,7,1,6,1,7,1,2,1,2,1,1,1,7,1,7,1,5,1,7,2,7,1,7,1,1,NA,NA,2,2,1,7,1,6,1,7
34,"54",7,7,NA,NA,7,7,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,NA,NA,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,5,7,7,1,1,2,1,NA,NA,7,6,NA,NA,6,5,7,7,7,7,7,7,1,1,1,1,NA,NA,7,7,5,5,NA,NA,7,7,7,7,NA,NA,1,1,NA,NA,1,1,4,6,7,7,7,7,7,7,7,7,7,7,1,1,NA,NA,1,1,7,7,NA,NA,7,6
35,"38",3,5,2,6,3,6,2,2,3,3,2,2,1,6,2,6,2,7,2,7,NA,NA,2,6,2,2,3,3,2,2,1,7,NA,NA,2,6,NA,NA,6,4,3,5,2,2,3,3,2,2,2,6,3,5,3,6,NA,NA,3,6,2,7,2,2,NA,NA,2,2,2,6,2,6,NA,NA,2,6,NA,NA,2,6,NA,NA,3,2,NA,NA,2,6,2,6,2,6,2,6,3,5,3,5,2,2,3,3,2,2,1,7,3,6,2,6
36,"66",5,4,NA,NA,4,5,2,1,4,3,NA,NA,2,7,3,5,3,5,1,7,3,5,3,7,2,2,3,3,2,2,3,6,4,4,4,5,NA,NA,5,4,3,3,NA,NA,3,3,2,1,NA,NA,NA,NA,4,4,2,7,NA,NA,2,7,2,2,3,3,3,3,3,6,3,5,4,5,2,6,NA,NA,2,7,2,1,3,3,2,1,3,7,NA,NA,NA,NA,1,7,3,5,2,7,3,2,3,2,3,2,2,6,3,5,1,6
37,"50",5,7,NA,NA,5,7,5,1,5,1,5,1,5,7,5,7,NA,NA,5,7,5,7,5,7,5,1,5,1,5,1,5,7,5,7,5,7,5,7,5,7,NA,NA,5,1,5,1,5,3,5,7,5,6,5,7,5,7,5,7,NA,NA,5,1,5,1,5,1,5,7,5,7,5,7,NA,NA,5,6,5,7,5,1,5,1,5,1,NA,NA,5,7,5,7,5,7,NA,NA,NA,NA,NA,NA,5,2,NA,NA,5,7,5,7,5,7
38,"47",4,5,5,6,4,6,4,2,4,2,4,2,NA,NA,NA,NA,4,2,5,7,5,6,5,6,4,1,NA,NA,4,1,4,5,5,6,4,5,6,5,5,6,6,6,NA,NA,4,2,4,2,5,4,4,4,5,4,4,6,NA,NA,5,5,NA,NA,3,1,NA,NA,5,5,4,2,5,5,5,3,3,6,4,7,4,1,3,1,NA,NA,3,5,5,2,NA,NA,5,6,5,6,4,5,3,1,4,1,4,2,5,5,4,4,4,5
39,"58",NA,NA,2,6,5,6,7,2,6,2,6,4,5,5,6,4,3,6,1,7,1,7,1,7,6,2,7,5,7,4,NA,NA,3,5,3,6,NA,NA,6,5,NA,NA,6,2,7,4,7,3,NA,NA,5,4,NA,NA,1,7,2,6,1,7,4,3,NA,NA,7,2,NA,NA,5,5,3,6,2,7,NA,NA,2,7,7,1,6,3,6,2,6,4,6,5,2,6,1,7,1,7,1,7,7,3,4,2,NA,NA,5,7,5,5,2,6
40,"48",4,4,3,5,NA,NA,3,2,4,4,NA,NA,NA,NA,3,6,3,6,NA,NA,4,5,4,6,3,2,4,4,3,2,3,6,5,5,3,6,3,6,5,5,3,6,4,4,4,4,4,3,3,5,5,5,5,5,NA,NA,5,5,3,6,4,3,NA,NA,4,3,3,6,3,6,4,5,NA,NA,5,5,NA,NA,3,2,4,4,3,2,3,6,3,6,NA,NA,3,6,4,5,5,5,3,2,4,4,3,2,3,6,5,5,NA,NA
41,"68",5,5,4,4,NA,NA,3,3,4,4,3,3,5,5,4,4,5,5,NA,NA,4,4,5,5,NA,NA,NA,NA,4,3,5,5,5,5,5,5,5,4,3,4,5,5,3,3,4,4,NA,NA,NA,NA,5,5,5,5,NA,NA,4,4,5,5,3,3,NA,NA,3,3,4,4,5,5,5,5,3,4,4,4,4,4,3,3,3,3,3,3,4,4,5,5,6,5,5,5,NA,NA,4,4,3,3,NA,NA,3,3,4,4,4,4,5,5
42,"75",4,5,NA,NA,3,6,NA,NA,3,4,2,3,2,5,6,3,7,4,2,5,2,5,2,2,1,2,2,1,NA,NA,2,3,2,6,7,5,4,5,4,7,5,5,1,3,1,3,1,3,NA,NA,5,6,NA,NA,1,3,7,3,2,5,1,3,3,4,2,3,NA,NA,2,4,2,6,1,3,3,4,1,4,1,2,3,4,NA,NA,NA,NA,2,3,5,5,2,4,1,2,2,5,1,2,NA,NA,2,2,3,5,5,5,NA,NA
43,"71",4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,2,3,2,3,4,4,4,4,4,4,NA,NA,NA,NA,4,4,NA,NA,2,3,2,3,4,4,4,4,4,4,4,4,7,6,4,4,2,2,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,NA,NA,NA,NA,4,4,NA,NA,4,4
44,"30",3,4,4,4,5,4,6,4,NA,NA,5,4,3,4,3,4,NA,NA,7,4,5,4,NA,NA,5,4,2,4,6,4,NA,NA,3,4,4,4,6,4,7,6,NA,NA,NA,NA,2,4,2,4,5,4,5,4,NA,NA,5,4,4,4,4,4,2,4,2,4,6,4,6,4,5,4,4,4,5,4,4,4,4,4,1,4,3,4,1,4,4,4,5,4,5,4,4,4,4,4,5,4,NA,NA,4,4,NA,NA,5,4,4,4,7,4
45,"56",3,5,3,5,3,4,NA,NA,4,4,3,2,3,5,NA,NA,3,5,3,6,NA,NA,3,5,3,3,3,2,2,6,NA,NA,3,4,3,5,3,6,3,4,3,6,NA,NA,3,3,4,4,2,4,NA,NA,3,5,3,4,NA,NA,NA,NA,3,4,NA,NA,3,3,3,6,3,5,3,4,3,4,3,5,3,5,3,3,3,4,3,2,3,5,3,5,NA,NA,2,5,3,5,4,6,3,2,3,3,3,3,3,5,3,5,3,5
46,"40",4,4,5,6,5,5,1,1,2,2,3,4,NA,NA,6,6,7,7,NA,NA,5,6,6,6,2,2,1,1,2,2,7,7,5,5,6,6,7,7,5,5,5,4,3,2,3,3,NA,NA,3,4,4,4,NA,NA,4,5,4,5,2,6,1,1,NA,NA,2,2,6,6,5,5,NA,NA,NA,NA,5,5,6,6,1,1,NA,NA,6,2,NA,NA,6,6,7,7,2,6,3,4,4,5,1,1,NA,NA,3,3,6,6,5,5,5,5
47,"33",3,4,4,4,3,4,NA,NA,5,4,4,4,1,7,2,6,3,5,1,7,NA,NA,2,7,4,4,3,5,6,3,5,3,4,4,3,5,4,5,NA,NA,3,5,2,2,NA,NA,3,2,3,4,5,4,NA,NA,5,4,4,5,4,4,3,2,4,5,4,3,3,5,4,4,4,5,3,5,3,4,3,5,2,3,5,4,NA,NA,2,6,NA,NA,3,6,5,4,NA,NA,NA,NA,2,1,NA,NA,4,3,1,7,3,6,3,5
48,"48",4,4,5,5,4,4,1,1,4,3,NA,NA,4,4,NA,NA,5,6,7,7,7,6,7,7,2,2,4,4,4,4,7,7,NA,NA,5,6,7,7,NA,NA,7,5,2,2,3,3,4,3,5,6,4,4,4,5,7,7,4,4,7,6,NA,NA,3,3,3,3,7,5,4,5,6,6,7,7,4,4,7,7,1,1,NA,NA,1,1,4,5,NA,NA,7,6,7,7,NA,NA,NA,NA,1,1,3,2,NA,NA,7,7,5,5,4,5
